fold1,fold2,fold3,fold4,fold5
0.72727,0.74242,0.78788,0.68182,0.78462
0.80303,0.73485,0.75000,0.74242,0.70992
0.76768,0.76768,0.78283,0.81313,0.73096
0.73864,0.76136,0.81439,0.77186,0.76046
0.75758,0.76364,0.76970,0.81155,0.80243
0.80303,0.80051,0.74495,0.79241,0.78481
0.76407,0.77273,0.80043,0.78742,0.79176
0.75568,0.78409,0.79886,0.80076,0.80645
0.80640,0.78451,0.77909,0.77909,0.81956
0.79545,0.79514,0.80880,0.79514,0.79970
